Hora,Probabilidad
0:00,0.00464043
0:15,0.00487596
0:30,0.00510952
0:45,0.00533928
1:00,0.00556333
1:15,0.00577975
1:30,0.0059866
1:45,0.00618196
2:00,0.00636398
2:15,0.00653087
2:30,0.00668099
2:45,0.00681278
3:00,0.0069249
3:15,0.00701615
3:30,0.00708558
3:45,0.00713245
4:00,0.00715624
4:15,0.00715669
4:30,0.00713382
4:45,0.00708785
5:00,0.00701929
5:15,0.00692887
5:30,0.00681755
5:45,0.0066865
6:00,0.00653709
6:15,0.00637082
6:30,0.00618937
6:45,0.00599451
7:00,0.00578809
7:15,0.00557205
7:30,0.00534832
7:45,0.00511884
8:00,0.00488554
8:15,0.00465029
8:30,0.00441492
8:45,0.00418116
9:00,0.00395066
9:15,0.00372502
9:30,0.00350574
9:45,0.00329428
10:00,0.00309207
10:15,0.00290058
10:30,0.00272134
10:45,0.00255605
11:00,0.00240665
11:15,0.00227541
11:30,0.00216511
11:45,0.00207909
12:00,0.00202144
12:15,0.00199712
12:30,0.00201207
12:45,0.00207334
13:00,0.00218908
13:15,0.00236859
13:30,0.00262223
13:45,0.00296121
14:00,0.00339728
14:15,0.00394237
14:30,0.00460798
14:45,0.00540454
15:00,0.00634062
15:15,0.00742206
15:30,0.00865112
15:45,0.0100256
16:00,0.011538
16:15,0.0131752
16:30,0.0149174
16:45,0.016739
17:00,0.0186081
17:15,0.0204873
17:30,0.022335
17:45,0.0241065
18:00,0.0257559
18:15,0.0272377
18:30,0.0285093
18:45,0.0295325
19:00,0.0302759
19:15,0.0307159
19:30,0.0308385
19:45,0.0306396
20:00,0.0301255
20:15,0.0293124
20:30,0.0282255
20:45,0.026898
21:00,0.0253688
21:15,0.0236815
21:30,0.0218815
21:45,0.0200145
22:00,0.0181243
22:15,0.0162515
22:30,0.014432
22:45,0.012696
23:00,0.0110676
23:15,0.00956459
23:30,0.0081984
23:45,0.00697488
